irasas,R,klase,ritmas,RR_pre,RR_post,RR_vid,RR_sant,R_ecg,P_on,P_peak,P_off,QRS_on,QRS_off,T_on,T_peak,T_off,T_tipas,rastas,PR,QRS,QT,QTc,P_amp,T_amp,ST,QRS_max,QRS_min,P_yra
223,167132.0,A,(N,550.0,805.5555555555555,683.3333333333334,0.8048780487804877,167134.0,167062.0,167084.0,167094.0,167102.0,167152.0,167210.0,167231.0,167275.0,0.0,True,111.1111111111111,138.88888888888889,480.55555555555554,647.9809789230048,-0.0149999999999999,0.16,0.03,0.935,-0.1699999999999999,1.0
209,216106.0,A,(SVTA,394.44444444444446,383.33333333333337,456.1111111111112,0.8647990255785627,216106.0,,,,216096.0,216113.0,216152.0,216177.0,216200.0,0.0,True,,47.22222222222222,288.88888888888886,459.97890677637184,,0.295,0.065,1.65,-0.45,0.0
232,441239.0,A,(SBR,736.1111111111112,1872.2222222222224,953.3333333333334,0.7721445221445222,441240.0,,,,441227.0,441254.0,441316.0,441348.0,441380.0,0.0,True,,75.0,425.0,495.3557898022047,,0.285,-0.05,0.93,-0.48,0.0
232,23230.0,A,(SBR,736.1111111111112,1825.0,975.5555555555557,0.7545558086560364,23231.0,23134.0,23143.0,23157.0,23207.0,23271.0,23313.0,23330.0,23375.0,0.0,True,202.77777777777777,177.77777777777777,466.6666666666667,543.9200829200679,0.0049999999999999,0.2799999999999999,0.0349999999999999,0.635,-0.3299999999999999,1.0
209,209705.0,A,(SVTA,400.0,386.1111111111112,417.5,0.9580838323353292,209707.0,209630.0,209640.0,209667.0,209695.0,209713.0,209735.0,209762.0,209769.0,0.0,True,180.55555555555557,50.0,205.55555555555557,325.0118706284167,0.165,0.15,-0.0799999999999999,1.545,-0.6,1.0
232,241953.0,A,(SBR,722.2222222222222,769.4444444444445,845.0,0.8547008547008547,241954.0,,,,241937.0,241991.0,242025.0,242055.0,242094.0,0.0,True,,150.0,436.1111111111112,513.1705536115816,,0.335,0.045,0.78,-0.3299999999999999,0.0
232,192644.0,A,(SBR,730.5555555555555,744.4444444444445,887.2222222222223,0.823418910457107,192645.0,192539.0,192549.0,192565.0,192633.0,192652.0,192715.0,192747.0,192789.0,0.0,True,261.11111111111114,52.77777777777778,433.33333333333337,506.9854243785707,-0.085,0.31,-0.21,0.8600000000000001,-0.415,1.0
116,298940.0,A,(N,500.0,944.4444444444443,770.8333333333334,0.6486486486486486,298941.0,,,,298928.0,298949.0,298986.0,299017.0,299047.0,0.0,True,,58.333333333333336,330.55555555555554,467.4761497844397,,0.5200000000000001,0.02,3.53,-0.5699999999999998,0.0
201,424654.0,A,(N,661.1111111111111,422.22222222222223,1008.3333333333331,0.6556473829201103,424654.0,,,,424637.0,424665.0,424682.0,424693.0,424747.0,1.0,True,,77.77777777777779,305.5555555555556,375.7966949416111,,-0.06,-0.045,1.155,0.0,0.0
223,252483.0,A,(N,480.55555555555554,513.8888888888888,668.3333333333334,0.7190357439733998,252484.0,,,,252466.0,252497.0,252522.0,252553.0,252585.0,1.0,True,,86.11111111111111,330.55555555555554,476.8399781940588,,-0.325,-0.175,2.23,-0.275,0.0
232,641315.0,A,(SBR,738.8888888888889,761.1111111111111,988.3333333333331,0.74761101742552,641316.0,641229.0,641240.0,641252.0,641304.0,641324.0,641390.0,641420.0,641456.0,0.0,True,208.33333333333331,55.55555555555555,422.22222222222223,491.1922650753382,-0.02,0.305,-0.1699999999999999,0.795,-0.38,1.0
232,41383.0,A,(SBR,716.6666666666666,1902.7777777777776,1191.111111111111,0.601679104477612,41384.0,41307.0,41317.0,41326.0,41356.0,41421.0,41454.0,41486.0,41523.0,0.0,True,136.1111111111111,180.55555555555557,463.8888888888889,547.9682148750514,0.025,0.255,0.04,0.6799999999999999,-0.3899999999999999,1.0
222,432664.0,A,(AB,513.8888888888888,905.5555555555557,729.1666666666666,0.7047619047619047,432664.0,432567.0,432588.0,432607.0,432651.0,432671.0,432706.0,432718.0,432763.0,5.0,True,233.33333333333331,55.55555555555555,311.11111111111114,433.991184643592,-0.19,0.0999999999999999,0.0699999999999999,1.03,-0.09,1.0
232,224798.0,A,(SBR,766.6666666666667,1911.1111111111115,1111.9444444444446,0.6894828878341244,224799.0,,,,224785.0,224837.0,224868.0,224902.0,224940.0,0.0,True,,144.44444444444443,430.5555555555556,491.72909617569405,,0.28,0.02,0.745,-0.39,0.0
232,371851.0,A,(SBR,708.3333333333334,761.1111111111111,1153.3333333333333,0.6141618497109828,371852.0,371763.0,371798.0,371805.0,371839.0,371887.0,371930.0,371959.0,372000.0,0.0,True,211.11111111111111,133.33333333333334,447.22222222222223,531.3791813974818,-0.025,0.29,-0.035,0.945,-0.47,1.0
232,179217.0,A,(SBR,702.7777777777777,719.4444444444445,820.2777777777777,0.8567558415171013,179218.0,179123.0,179126.0,179145.0,179205.0,179225.0,179292.0,179320.0,179358.0,0.0,True,227.77777777777777,55.55555555555555,425.0,506.9672674608094,-0.09,0.31,-0.18,0.72,-0.415,1.0
232,578510.0,A,(SBR,780.5555555555555,772.2222222222223,1034.7222222222222,0.7543624161073825,578511.0,578400.0,578412.0,578429.0,578499.0,578519.0,578592.0,578618.0,578651.0,0.0,True,275.0,55.55555555555555,422.22222222222223,477.9023626728785,-0.0749999999999999,0.28,-0.2449999999999999,0.925,-0.415,1.0
222,449855.0,A,(N,458.3333333333333,530.5555555555555,900.2777777777777,0.5091021289725394,449855.0,,,,449840.0,449866.0,449914.0,449940.0,449969.0,1.0,True,,72.22222222222221,358.3333333333333,529.2934112111308,,-0.2199999999999999,-0.07,1.12,-0.075,0.0
232,245040.0,A,(SBR,716.6666666666666,744.4444444444445,850.8333333333333,0.842311459353575,245071.0,,,,245032.0,245082.0,245116.0,245151.0,245200.0,0.0,True,,138.88888888888889,466.6666666666667,551.2494616707105,,0.36,0.0249999999999999,0.58,-0.295,0.0
209,360609.0,A,(N,491.6666666666666,750.0,651.1111111111111,0.7551194539249146,360610.0,,,,360598.0,360624.0,360652.0,360685.0,360712.0,0.0,True,,72.22222222222221,316.66666666666663,451.6135541144519,,0.32,0.0349999999999999,1.61,-0.42,0.0
232,564271.0,A,(SBR,744.4444444444445,1938.888888888889,934.722222222222,0.7964338781575039,564272.0,564186.0,564199.0,564208.0,564259.0,564280.0,564340.0,564376.0,564413.0,0.0,True,202.77777777777777,58.333333333333336,427.77777777777777,495.79492095868073,0.0199999999999999,0.325,-0.14,0.8450000000000001,-0.41,1.0
219,114965.0,A,(N,780.5555555555555,933.3333333333334,856.1111111111111,0.9117456197274496,114966.0,,,,114952.0,114979.0,115028.0,115059.0,115089.0,1.0,True,,75.0,380.55555555555554,430.7409453038444,,-0.45,-0.1049999999999999,2.365,-0.155,0.0
202,467418.0,A,(N,511.1111111111111,1255.5555555555554,980.5555555555554,0.5212464589235127,467419.0,,,,467393.0,467440.0,467464.0,467503.0,467529.0,0.0,True,,130.55555555555557,377.77777777777777,528.4193913361778,,0.01,-0.205,1.94,-0.145,0.0
200,602450.0,A,(N,586.1111111111111,766.6666666666667,803.0555555555557,0.7298512625389137,602452.0,602373.0,602382.0,602405.0,602435.0,602469.0,602507.0,602555.0,602603.0,0.0,True,172.22222222222223,94.44444444444444,466.6666666666667,609.5604818577514,0.115,0.26,-0.035,1.135,-0.3199999999999999,1.0
209,611689.0,A,(N,525.0,744.4444444444445,614.7222222222223,0.8540442837776773,611689.0,,,,611671.0,611697.0,611746.0,611766.0,611802.0,0.0,True,,72.22222222222221,363.88888888888886,502.2143792991577,,0.14,-0.04,1.415,-0.505,0.0
232,386293.0,A,(SBR,741.6666666666667,741.6666666666667,1014.7222222222224,0.730906104571585,386294.0,386209.0,386218.0,386227.0,386279.0,386337.0,386370.0,386400.0,386431.0,0.0,True,194.44444444444449,161.11111111111111,422.22222222222223,490.2715664869163,0.035,0.33,0.005,0.975,-0.3699999999999999,1.0
209,620189.0,A,(SVTA,422.22222222222223,580.5555555555557,507.7777777777778,0.8315098468271334,620190.0,,,,620181.0,620196.0,620254.0,620269.0,620288.0,0.0,True,,41.66666666666666,297.22222222222223,457.4153486379645,,0.175,-0.0949999999999999,1.735,-0.445,0.0
207,645093.0,A,(SVTA,472.22222222222223,500.0,493.05555555555554,0.9577464788732396,645092.0,,,,645075.0,645117.0,645131.0,645153.0,645208.0,0.0,True,,116.66666666666669,369.44444444444446,537.6206354972047,,0.66,0.505,0.17,-1.21,0.0
232,571559.0,A,(SBR,763.8888888888888,747.2222222222223,1375.2777777777778,0.5554433447788325,571560.0,571471.0,571482.0,571492.0,571537.0,571568.0,571635.0,571665.0,571701.0,0.0,True,183.3333333333333,86.11111111111111,455.55555555555554,521.2262154542572,-0.0249999999999999,0.245,-0.2149999999999999,0.785,-0.41,1.0
232,337715.0,A,(SBR,680.5555555555555,738.8888888888889,1058.0555555555554,0.6432134418482542,337716.0,,,,337700.0,337753.0,337785.0,337817.0,337853.0,0.0,True,,147.22222222222223,425.0,515.1777977216275,,0.285,0.0149999999999999,0.79,-0.42,0.0
232,160944.0,A,(SBR,736.1111111111112,2077.777777777778,933.8888888888888,0.7882212968471148,160945.0,160841.0,160849.0,160865.0,160932.0,160953.0,161019.0,161051.0,161085.0,0.0,True,252.77777777777777,58.333333333333336,425.0,495.3557898022047,-0.08,0.295,-0.13,0.7200000000000001,-0.36,1.0
232,563458.0,A,(SBR,761.1111111111111,755.5555555555555,871.3888888888889,0.8734459674848581,563459.0,563386.0,563393.0,563403.0,563447.0,563466.0,563525.0,563559.0,563592.0,0.0,True,169.44444444444446,52.77777777777778,402.77777777777777,461.680434940109,-0.105,0.295,-0.1649999999999999,0.77,-0.375,1.0
118,109814.0,A,(N,661.1111111111111,852.7777777777777,784.1666666666666,0.8430747431810132,109816.0,,,,109801.0,109846.0,109861.0,109896.0,109956.0,4.0,True,,125.0,430.5555555555556,529.5317065086338,,-0.165,0.04,1.69,-1.17,0.0
207,644042.0,A,(SVTA,505.55555555555554,505.55555555555554,496.6666666666667,1.017897091722595,644041.0,,,,644024.0,644065.0,644071.0,644103.0,644162.0,0.0,True,,113.88888888888889,383.33333333333337,539.1283155792698,,0.645,0.42,0.1599999999999999,-1.15,0.0
223,206606.0,A,(N,586.1111111111111,744.4444444444445,667.2222222222223,0.8784346378018317,206609.0,,,,206588.0,206624.0,206661.0,206677.0,206744.0,4.0,True,,100.0,433.33333333333337,566.0204474393406,,-0.125,-0.0849999999999999,0.805,-0.2949999999999999,0.0
232,129294.0,A,(SBR,686.1111111111111,758.3333333333333,1094.1666666666663,0.6270627062706271,129295.0,,,,129284.0,129302.0,129369.0,129402.0,129432.0,0.0,True,,50.0,411.1111111111111,496.3202425610791,,0.275,-0.21,0.55,-0.3349999999999999,0.0
232,91982.0,A,(SBR,697.2222222222222,1744.4444444444446,1071.111111111111,0.6509336099585062,91984.0,91918.0,91937.0,91954.0,91963.0,92020.0,92064.0,92085.0,92117.0,0.0,True,125.0,158.33333333333331,427.77777777777777,512.3097364358044,0.0199999999999999,0.3899999999999999,0.075,0.72,-0.335,1.0
232,409197.0,A,(SBR,677.7777777777778,733.3333333333333,1065.8333333333337,0.6359134740682825,409198.0,,,,409183.0,409210.0,409274.0,409306.0,409346.0,0.0,True,,75.0,452.77777777777777,549.9730909131805,,0.21,-0.12,0.925,-0.415,0.0
232,335821.0,A,(SBR,761.1111111111111,727.7777777777777,846.9444444444446,0.8986552968186289,335822.0,335718.0,335728.0,335743.0,335809.0,335863.0,335897.0,335925.0,335958.0,0.0,True,252.77777777777777,150.0,413.88888888888886,474.4164469384568,-0.105,0.29,0.0,0.875,-0.385,1.0
232,135950.0,A,(SBR,747.2222222222223,716.6666666666666,1035.8333333333333,0.7213730222579782,135951.0,135865.0,135877.0,135885.0,135936.0,135958.0,136028.0,136053.0,136091.0,0.0,True,197.22222222222223,61.11111111111111,430.5555555555556,498.085968868139,0.02,0.245,-0.145,0.6649999999999999,-0.35,1.0
222,436015.0,A,(AB,461.1111111111112,1011.1111111111112,739.1666666666666,0.6238256294626081,436015.0,435954.0,435974.0,435993.0,436000.0,436024.0,436076.0,436095.0,436157.0,1.0,True,127.77777777777776,66.66666666666667,436.1111111111112,642.2355742232426,-0.0999999999999999,-0.085,0.03,1.27,-0.145,1.0
232,382896.0,A,(SBR,766.6666666666667,736.1111111111112,744.4444444444445,1.0298507462686568,382897.0,382803.0,382819.0,382830.0,382879.0,382933.0,382972.0,382999.0,383034.0,0.0,True,211.11111111111111,150.0,430.5555555555556,491.72909617569405,0.035,0.31,0.085,0.955,-0.3149999999999999,1.0
209,285693.0,A,(SVTA,405.55555555555554,394.44444444444446,446.94444444444446,0.9073958980733374,285694.0,285656.0,285665.0,285671.0,285683.0,285701.0,285721.0,285752.0,285759.0,0.0,True,75.0,50.0,211.11111111111111,331.5018176404687,-0.04,0.1699999999999999,-0.1,1.59,-0.4599999999999999,1.0
232,513423.0,A,(SBR,719.4444444444445,716.6666666666666,1265.8333333333337,0.5683563748079876,513425.0,513320.0,513330.0,513348.0,513412.0,513432.0,513497.0,513534.0,513569.0,0.0,True,255.55555555555557,55.55555555555555,436.1111111111112,514.1602759459246,-0.08,0.235,-0.155,0.775,-0.375,1.0
232,46908.0,A,(SBR,747.2222222222223,741.6666666666667,836.1111111111111,0.8936877076411961,46909.0,46823.0,46833.0,46841.0,46887.0,46947.0,46983.0,47017.0,47060.0,0.0,True,177.77777777777777,166.66666666666666,480.55555555555554,555.9282104141164,0.03,0.285,0.0199999999999999,0.72,-0.33,1.0
207,644580.0,A,(SVTA,494.44444444444446,466.6666666666667,493.88888888888886,1.001124859392576,644578.0,,,,644562.0,644601.0,644606.0,644639.0,644704.0,0.0,True,,108.33333333333334,394.44444444444446,560.9537980489731,,0.69,0.42,0.15,-1.22,0.0
220,366911.0,A,(N,552.7777777777778,1077.7777777777778,875.0,0.6317460317460318,366918.0,366847.0,366861.0,366887.0,366901.0,366925.0,366959.0,367010.0,367033.0,0.0,True,150.0,66.66666666666667,366.6666666666666,493.1694236284424,0.21,0.255,-0.0449999999999999,1.945,-1.005,1.0
112,278493.0,A,(N,530.5555555555555,819.4444444444445,682.2222222222223,0.777687296416938,278503.0,278430.0,278433.0,278458.0,278470.0,278514.0,278549.0,278577.0,278643.0,4.0,True,111.1111111111111,122.2222222222222,480.55555555555554,659.7481318202972,0.1599999999999999,-0.325,-0.06,0.875,-0.5850000000000001,1.0
232,272962.0,A,(SBR,719.4444444444445,719.4444444444445,846.3888888888889,0.8500164095831966,272970.0,272841.0,272863.0,272886.0,272947.0,273000.0,273032.0,273060.0,273099.0,0.0,True,294.44444444444446,147.22222222222223,422.22222222222223,497.7857448648442,-0.065,0.25,0.01,0.5700000000000001,-0.415,1.0
219,115592.0,A,(N,808.3333333333334,922.2222222222224,936.388888888889,0.8632453277959061,115593.0,,,,115578.0,115602.0,115659.0,115691.0,115722.0,1.0,True,,66.66666666666667,400.0,444.9023986560388,,-0.48,-0.1099999999999999,2.1,-0.04,0.0
232,548906.0,A,(SBR,744.4444444444445,752.7777777777777,737.5,1.009416195856874,548907.0,548820.0,548832.0,548842.0,548894.0,548915.0,548985.0,549015.0,549053.0,0.0,True,205.55555555555557,58.333333333333336,441.6666666666666,511.8921586521444,0.005,0.31,-0.16,0.75,-0.4,1.0
223,328020.0,A,(N,486.1111111111111,572.2222222222222,685.5555555555555,0.7090761750405186,328021.0,,,,327996.0,328030.0,328058.0,328085.0,328143.0,4.0,True,,94.44444444444444,408.3333333333333,585.6620185738528,,-0.1749999999999999,-0.0449999999999999,2.175,-0.1799999999999999,0.0
232,285296.0,A,(SBR,680.5555555555555,738.8888888888889,1056.9444444444446,0.6438896189224703,285305.0,,,,285284.0,285335.0,285367.0,285397.0,285437.0,0.0,True,,141.66666666666666,425.0,515.1777977216275,,0.36,0.0199999999999999,0.815,-0.415,0.0
232,111577.0,A,(SBR,738.8888888888889,730.5555555555555,1050.0,0.7037037037037037,111578.0,111491.0,111504.0,111512.0,111565.0,111585.0,111653.0,111684.0,111722.0,0.0,True,205.55555555555557,55.55555555555555,436.1111111111112,507.349905373869,0.0299999999999999,0.26,-0.2199999999999999,0.665,-0.305,1.0
222,438141.0,A,(AB,469.44444444444446,1025.0,734.1666666666667,0.6394248959515701,438140.0,,,,438126.0,438149.0,438201.0,438222.0,438263.0,1.0,True,,63.888888888888886,380.55555555555554,555.4256915936769,,-0.135,0.055,1.115,-0.155,0.0
118,627591.0,A,(N,494.44444444444446,711.1111111111111,666.6666666666667,0.7416666666666666,627591.0,,,,627575.0,627622.0,627642.0,627664.0,627710.0,4.0,True,,130.55555555555557,375.0,533.3011460324744,,0.01,0.2999999999999999,2.235,-1.25,0.0
232,492277.0,A,(SBR,755.5555555555555,727.7777777777777,1129.4444444444443,0.6689621249385146,492278.0,,,,492257.0,492291.0,492352.0,492379.0,492416.0,0.0,True,,94.44444444444444,441.6666666666666,508.11430511138286,,0.32,-0.015,1.0,-0.45,0.0
222,525620.0,A,(NOD,569.4444444444445,422.22222222222223,922.5,0.6172839506172839,525621.0,,,,525614.0,525626.0,,525656.0,525702.0,3.0,True,,33.333333333333336,244.44444444444443,323.93247648621656,,0.17,0.035,0.975,-0.06,0.0
232,330111.0,A,(SBR,688.8888888888889,741.6666666666667,996.1111111111112,0.6915783602900166,330112.0,,,,330098.0,330152.0,330187.0,330219.0,330252.0,0.0,True,,150.0,427.77777777777777,515.3990693791034,,0.3299999999999999,-0.005,1.005,-0.4249999999999999,0.0
232,346249.0,A,(SBR,738.8888888888889,752.7777777777777,1076.1111111111109,0.6866288074341768,346250.0,346161.0,346176.0,346185.0,346236.0,346271.0,346323.0,346354.0,346387.0,0.0,True,208.33333333333331,97.22222222222224,419.44444444444446,487.960737015632,0.0449999999999999,0.265,-0.05,0.855,-0.485,1.0
232,477950.0,A,(SBR,719.4444444444445,744.4444444444445,1140.5555555555554,0.6307842182172432,477951.0,,,,477940.0,477973.0,478027.0,478055.0,478095.0,0.0,True,,91.66666666666666,430.5555555555556,507.6104635134925,,0.315,0.01,1.095,-0.3849999999999999,0.0
232,309599.0,A,(SBR,736.1111111111112,1880.5555555555557,1013.0555555555554,0.7266246229777902,309600.0,309516.0,309526.0,309534.0,309586.0,309636.0,309669.0,309704.0,309737.0,0.0,True,194.44444444444449,138.88888888888889,419.44444444444446,488.88055071982296,0.0249999999999999,0.26,0.015,0.6,-0.395,1.0
232,115745.0,A,(SBR,719.4444444444445,705.5555555555557,808.0555555555555,0.890340323135098,115746.0,115652.0,115656.0,115677.0,115733.0,115753.0,115815.0,115848.0,115878.0,0.0,True,225.0,55.55555555555555,402.77777777777777,474.8614013513316,-0.0449999999999999,0.225,-0.1849999999999999,0.44,-0.3099999999999999,1.0
232,94789.0,A,(SBR,763.8888888888888,1925.0,944.7222222222224,0.8085857100852689,94790.0,94698.0,94717.0,94728.0,94768.0,94828.0,94868.0,94895.0,94932.0,0.0,True,194.44444444444449,166.66666666666666,455.55555555555554,521.2262154542572,0.0,0.28,0.025,0.66,-0.29,1.0
223,252668.0,A,(N,513.8888888888888,797.2222222222223,670.2777777777777,0.7666804807293824,252669.0,,,,252651.0,252683.0,252705.0,252737.0,252813.0,4.0,True,,88.88888888888889,450.0,627.7372492166241,,-0.4,-0.2049999999999999,2.12,-0.3350000000000001,0.0
232,420136.0,A,(SBR,755.5555555555555,747.2222222222223,952.5,0.7932341790609507,420137.0,,,,420120.0,420150.0,420208.0,420237.0,420269.0,0.0,True,,83.33333333333333,413.88888888888886,476.1574305760757,,0.305,-0.045,0.865,-0.45,0.0
232,289656.0,A,(SBR,741.6666666666667,766.6666666666667,858.0555555555554,0.8643573972159277,289665.0,,,,289643.0,289696.0,289736.0,289762.0,289805.0,0.0,True,,147.22222222222223,450.0,522.5262748084239,,0.33,0.06,0.835,-0.43,0.0
209,386047.0,A,(N,463.8888888888889,669.4444444444443,618.0555555555554,0.7505617977528092,386048.0,385995.0,386008.0,386019.0,386037.0,386063.0,386092.0,386121.0,386150.0,0.0,True,116.66666666666669,72.22222222222221,313.88888888888886,460.8599384855065,-0.0549999999999999,0.355,0.0549999999999999,1.385,-0.6200000000000001,1.0
220,155685.0,A,(SVTA,644.4444444444445,1077.7777777777778,814.4444444444443,0.7912687585266032,155693.0,,,,155672.0,155700.0,155770.0,155786.0,155815.0,0.0,True,,77.77777777777779,397.2222222222222,494.81265079520057,,0.2899999999999999,-0.045,2.4,-0.845,0.0
213,184536.0,A,(N,500.0,594.4444444444445,545.0,0.9174311926605504,184536.0,,,,184516.0,184553.0,184586.0,184622.0,184662.0,0.0,True,,102.77777777777776,405.55555555555554,573.5421669624218,,0.585,-0.515,2.385,-0.845,0.0
223,424457.0,A,(N,522.2222222222223,763.8888888888888,691.3888888888889,0.7553234230614705,424459.0,,,,424440.0,424467.0,424495.0,424525.0,424600.0,4.0,True,,75.0,444.4444444444444,615.0208053525901,,-0.21,-0.1149999999999999,2.16,-0.2299999999999999,0.0
232,57506.0,A,(SBR,716.6666666666666,727.7777777777777,1084.7222222222222,0.6606914212548015,57508.0,57423.0,57435.0,57445.0,57486.0,57542.0,57579.0,57611.0,57653.0,0.0,True,175.0,155.55555555555557,463.8888888888889,547.9682148750514,0.03,0.255,0.01,0.645,-0.415,1.0
232,520632.0,A,(SBR,733.3333333333333,725.0,1326.9444444444443,0.5526481055055474,520633.0,520557.0,520566.0,520579.0,520609.0,520641.0,520710.0,520739.0,520773.0,0.0,True,144.44444444444443,88.88888888888889,455.55555555555554,531.9742785103741,-0.095,0.46,-0.095,0.95,-0.36,1.0
232,47955.0,A,(SBR,716.6666666666666,719.4444444444445,725.8333333333334,0.9873708381171068,47956.0,47849.0,47860.0,47879.0,47929.0,47993.0,48025.0,48058.0,48088.0,0.0,True,222.2222222222222,177.77777777777777,441.6666666666666,521.7182405097794,-0.13,0.29,0.01,0.5850000000000001,-0.4,1.0
