record,beat_number,qrs_sample,qrs_seconds,qrs_annotation,qrs_symbol,p_onset_sample,p_peak_sample,p_offset_sample,qrs_onset_sample,qrs_offset_sample,t_onset_sample,t_peak_sample,t_offset_sample,t_wave_type,aami_class
100,22,6527,18.130555555555556,NORMAL,N,6440,6461,6483,6506,6541,6629,6663,6690,normal,N
100,23,6824,18.955555555555556,NORMAL,N,6738,6758,6780,6801,6838,6897,6963,6992,biphasic_negative_positive,N
100,24,7106,19.738888888888887,NORMAL,N,7024,7040,7064,7087,7118,7178,7233,7272,biphasic_negative_positive,N
100,25,7393,20.53611111111111,NORMAL,N,7308,7330,7352,7369,7400,7487,7513,7547,normal,N
100,26,7670,21.305555555555557,NORMAL,N,7588,7607,7633,7650,7684,7748,7803,7817,biphasic_negative_positive,N
100,27,7953,22.091666666666665,NORMAL,N,7870,7888,7913,7933,7967,8031,8084,8126,biphasic_negative_positive,N
100,28,8246,22.905555555555555,NORMAL,N,8162,8181,8206,8223,8253,8326,8376,8424,biphasic_negative_positive,N
100,29,8539,23.719444444444445,NORMAL,N,8454,8480,8498,8519,8551,8623,8677,8700,biphasic_negative_positive,N
100,30,8837,24.54722222222222,NORMAL,N,8755,8771,8798,8817,8854,8920,8973,9009,biphasic_negative_positive,N
100,31,9142,25.394444444444446,NORMAL,N,9054,9076,9100,9121,9156,9215,9266,9312,biphasic_negative_positive,N
100,32,9432,26.2,NORMAL,N,9350,9373,9396,9411,9445,9527,9553,9589,normal,N
100,34,9998,27.772222222222222,NORMAL,N,9919,9935,9956,9976,10011,10076,10123,10135,biphasic_negative_positive,N
100,35,10283,28.56388888888889,NORMAL,N,10202,10222,10242,10261,10296,10358,10413,10431,biphasic_negative_positive,N
100,36,10591,29.419444444444444,NORMAL,N,10503,10523,10547,10567,10598,10675,10732,10755,biphasic_negative_positive,N
100,37,10895,30.26388888888889,NORMAL,N,10812,10827,10857,10874,10909,11001,11025,11083,normal,N
100,38,11191,31.086111111111112,NORMAL,N,11110,11127,11153,11173,11204,11265,11328,11354,biphasic_negative_positive,N
100,39,11480,31.88888888888889,NORMAL,N,11399,11418,11442,11461,11494,11557,11639,11658,biphasic_negative_positive,N
100,41,12066,33.516666666666666,NORMAL,N,11984,12001,12031,12048,12078,12160,12187,12202,normal,N
100,42,12351,34.30833333333333,NORMAL,N,12263,12289,12308,12327,12363,12424,12479,12510,biphasic_negative_positive,N
100,43,12645,35.125,NORMAL,N,12562,12578,12603,12626,12658,12724,12776,12801,biphasic_negative_positive,N
100,44,12950,35.97222222222222,NORMAL,N,12863,12883,12909,12928,12963,13038,13117,13138,biphasic_negative_positive,N
100,45,13267,36.852777777777774,NORMAL,N,13179,13203,13221,13241,13279,13373,13407,13448,normal,N
100,46,13562,37.672222222222224,NORMAL,N,13483,13500,13521,13544,13574,13640,13692,13726,biphasic_negative_positive,N
100,47,13842,38.45,NORMAL,N,13767,13785,13806,13822,13857,13922,13969,14005,biphasic_negative_positive,N
100,49,14423,40.06388888888889,NORMAL,N,14341,14361,14387,14403,14432,14522,14548,14563,normal,N
100,50,14711,40.86388888888889,NORMAL,N,14632,14651,14672,14690,14724,14790,14839,14853,biphasic_negative_positive,N
100,51,15012,41.7,NORMAL,N,14923,14942,14968,14990,15018,15076,15157,15194,biphasic_negative_positive,N
100,52,15310,42.52777777777778,NORMAL,N,15224,15247,15271,15289,15323,15410,15440,15464,normal,N
100,53,15607,43.352777777777774,NORMAL,N,15522,15547,15569,15587,15624,15689,15738,15780,biphasic_negative_positive,N
100,54,15900,44.166666666666664,NORMAL,N,15819,15837,15861,15881,15912,15973,16025,16064,biphasic_negative_positive,N
100,55,16183,44.952777777777776,NORMAL,N,16107,16122,16147,16163,16199,16258,16315,16335,biphasic_negative_positive,N
100,57,16755,46.541666666666664,NORMAL,N,16672,16693,16712,16734,16771,16833,16900,16914,biphasic_negative_positive,N
100,58,17058,47.38333333333333,NORMAL,N,16973,16991,17016,17038,17071,17137,17242,17256,biphasic_negative_positive,N
100,59,17359,48.21944444444444,NORMAL,N,17274,17300,17319,17338,17367,17459,17496,17516,normal,N
100,61,17947,49.852777777777774,NORMAL,N,17864,17882,17905,17927,17954,18021,18066,18097,biphasic_negative_positive,N
100,62,18227,50.63055555555555,NORMAL,N,18146,18163,18188,18205,18240,18297,18347,18387,biphasic_negative_positive,N
100,64,18796,52.21111111111111,NORMAL,N,18714,18730,18756,18773,18808,18867,18919,18957,biphasic_negative_positive,N
100,65,19081,53.00277777777778,NORMAL,N,18997,19019,19039,19061,19088,19161,19214,19229,biphasic_negative_positive,N
100,66,19389,53.858333333333334,NORMAL,N,19298,19318,19343,19367,19396,19476,19519,19554,biphasic_negative_positive,N
100,67,19694,54.705555555555556,NORMAL,N,19607,19626,19653,19672,19701,19793,19819,19874,normal,N
100,68,19989,55.525,NORMAL,N,19909,19927,19949,19970,20002,20059,20122,20142,biphasic_negative_positive,N
100,69,20272,56.31111111111111,NORMAL,N,20193,20209,20228,20254,20284,20341,20359,20386,inverted,N
100,70,20554,57.09444444444444,NORMAL,N,20473,20491,20512,20536,20563,20648,20675,20715,normal,N
100,71,20838,57.88333333333333,NORMAL,N,20756,20774,20795,20817,20845,20913,20962,20993,biphasic_negative_positive,N
100,72,21131,58.69722222222222,NORMAL,N,21044,21069,21091,21111,21146,21206,21263,21294,biphasic_negative_positive,N
100,73,21424,59.51111111111111,NORMAL,N,21344,21361,21384,21403,21440,21504,21557,21603,biphasic_negative_positive,N
100,74,21729,60.358333333333334,NORMAL,N,21645,21664,21689,21709,21741,21832,21858,21919,normal,N
100,75,22030,61.19444444444444,NORMAL,N,21944,21961,21987,22009,22042,22113,22156,22200,biphasic_negative_positive,N
100,76,22321,62.00277777777778,NORMAL,N,22243,22261,22280,22303,22338,22395,22453,22486,biphasic_negative_positive,N
100,77,22603,62.78611111111111,NORMAL,N,22525,22542,22563,22583,22610,22670,22721,22762,biphasic_negative_positive,N
100,78,22881,63.55833333333333,NORMAL,N,22802,22824,22846,22862,22888,22974,23002,23047,normal,N
100,79,23164,64.34444444444445,NORMAL,N,23082,23100,23125,23145,23171,23243,23290,23330,biphasic_negative_positive,N
100,80,23454,65.15,NORMAL,N,23367,23386,23411,23433,23467,23536,23556,23580,inverted,N
100,81,23757,65.99166666666666,NORMAL,N,23670,23690,23713,23737,23769,23837,23890,23944,biphasic_negative_positive,N
100,82,24053,66.81388888888888,NORMAL,N,23971,23989,24014,24032,24067,24128,24184,24228,biphasic_negative_positive,N
100,83,24346,67.62777777777778,NORMAL,N,24265,24282,24306,24326,24358,24417,24472,24517,biphasic_negative_positive,N
100,84,24626,68.40555555555555,NORMAL,N,24547,24564,24585,24607,24638,24697,24759,24796,biphasic_negative_positive,N
100,85,24914,69.20555555555555,NORMAL,N,24834,24850,24875,24893,24921,24984,25035,25071,biphasic_negative_positive,N
100,86,25198,69.99444444444444,NORMAL,N,25116,25133,25160,25178,25210,25280,25318,25357,biphasic_negative_positive,N
100,87,25485,70.79166666666667,NORMAL,N,25402,25420,25446,25465,25499,25561,25615,25659,biphasic_negative_positive,N
100,88,25780,71.61111111111111,NORMAL,N,25696,25714,25740,25759,25796,25861,25919,25948,biphasic_negative_positive,N
100,89,26089,72.46944444444445,NORMAL,N,26003,26020,26046,26064,26096,26192,26217,26265,normal,N
100,90,26387,73.29722222222222,NORMAL,N,26302,26320,26348,26367,26400,26492,26515,26545,normal,N
100,91,26671,74.08611111111111,NORMAL,N,26592,26614,26634,26651,26683,26747,26797,26823,biphasic_negative_positive,N
100,92,26952,74.86666666666666,NORMAL,N,26874,26892,26916,26932,26965,27029,27074,27121,biphasic_negative_positive,N
100,93,27238,75.66111111111111,NORMAL,N,27157,27176,27201,27217,27251,27311,27362,27412,biphasic_negative_positive,N
100,94,27536,76.4888888888889,NORMAL,N,27456,27474,27495,27518,27549,27614,27662,27696,biphasic_negative_positive,N
100,95,27833,77.31388888888888,NORMAL,N,27751,27768,27795,27812,27851,27912,27964,27980,biphasic_negative_positive,N
100,96,28133,78.14722222222223,NORMAL,N,28051,28068,28091,28109,28140,28207,28261,28302,biphasic_negative_positive,N
100,97,28431,78.975,NORMAL,N,28345,28364,28392,28410,28444,28510,28560,28598,biphasic_negative_positive,N
100,98,28727,79.79722222222222,NORMAL,N,28643,28662,28685,28706,28740,28809,28859,28897,biphasic_negative_positive,N
100,99,29015,80.59722222222223,NORMAL,N,28929,28951,28971,28991,29027,29087,29139,29174,biphasic_negative_positive,N
100,100,29294,81.37222222222222,NORMAL,N,29215,29232,29257,29275,29306,29366,29420,29465,biphasic_negative_positive,N
100,101,29581,82.16944444444445,NORMAL,N,29499,29521,29543,29559,29594,29659,29703,29761,biphasic_negative_positive,N
100,102,29873,82.98055555555555,NORMAL,N,29789,29811,29834,29852,29888,29957,30008,30048,biphasic_negative_positive,N
100,103,30182,83.83888888888889,NORMAL,N,30096,30117,30139,30162,30195,30259,30312,30353,biphasic_negative_positive,N
100,105,30780,85.5,NORMAL,N,30697,30716,30740,30760,30792,30877,30899,30936,normal,N
100,106,31065,86.29166666666667,NORMAL,N,30987,31003,31024,31045,31078,31140,31155,31180,inverted,N
100,107,31349,87.08055555555555,NORMAL,N,31267,31285,31308,31329,31355,31419,31471,31510,biphasic_negative_positive,N
100,108,31636,87.87777777777778,NORMAL,N,31554,31571,31595,31614,31649,31714,31762,31812,biphasic_negative_positive,N
100,109,31928,88.68888888888888,NORMAL,N,31843,31861,31887,31906,31942,32004,32062,32100,biphasic_negative_positive,N
100,110,32225,89.51388888888889,NORMAL,N,32139,32158,32184,32203,32238,32303,32360,32413,biphasic_negative_positive,N
100,111,32531,90.3638888888889,NORMAL,N,32443,32461,32488,32508,32538,32614,32666,32709,biphasic_negative_positive,N
100,113,33127,92.01944444444445,NORMAL,N,33046,33066,33089,33105,33141,33195,33259,33296,biphasic_negative_positive,N
100,114,33404,92.78888888888889,NORMAL,N,33323,33343,33364,33384,33412,33475,33527,33566,biphasic_negative_positive,N
100,116,33981,94.39166666666667,NORMAL,N,33895,33914,33937,33956,33993,34051,34103,34153,biphasic_negative_positive,N
100,117,34274,95.20555555555555,NORMAL,N,34188,34208,34229,34254,34290,34354,34373,34398,inverted,N
100,118,34575,96.04166666666667,NORMAL,N,34487,34509,34532,34554,34588,34653,34709,34742,biphasic_negative_positive,N
100,119,34870,96.86111111111111,NORMAL,N,34792,34809,34832,34850,34877,34951,35003,35046,biphasic_negative_positive,N
100,120,35168,97.68888888888888,NORMAL,N,35081,35106,35129,35148,35182,35247,35300,35333,biphasic_negative_positive,N
100,121,35455,98.48611111111111,NORMAL,N,35378,35394,35415,35436,35468,35527,35582,35623,biphasic_negative_positive,N
100,122,35736,99.26666666666667,NORMAL,N,35660,35676,35699,35718,35745,35810,35854,35896,biphasic_negative_positive,N
100,123,36016,100.04444444444445,NORMAL,N,35936,35953,35978,35998,36023,36095,36136,36149,biphasic_negative_positive,N
100,124,36310,100.86111111111111,NORMAL,N,36225,36247,36270,36288,36318,36382,36439,36452,biphasic_negative_positive,N
100,125,36605,101.68055555555556,NORMAL,N,36522,36540,36562,36585,36619,36682,36740,36786,biphasic_negative_positive,N
100,126,36916,102.54444444444445,NORMAL,N,36830,36849,36871,36895,36923,37017,37040,37070,normal,N
100,128,37500,104.16666666666667,NORMAL,N,37420,37438,37458,37480,37512,37572,37625,37654,biphasic_negative_positive,N
100,129,37783,104.95277777777778,NORMAL,N,37701,37721,37741,37763,37796,37860,37912,37950,biphasic_negative_positive,N
100,132,38652,107.36666666666666,NORMAL,N,38567,38587,38611,38628,38659,38754,38796,38822,normal,N
100,133,38950,108.19444444444444,NORMAL,N,38867,38885,38913,38930,38963,39022,39077,39129,biphasic_negative_positive,N
100,136,39826,110.62777777777778,NORMAL,N,39745,39762,39784,39805,39838,39901,39946,39988,biphasic_negative_positive,N
100,137,40096,111.37777777777778,NORMAL,N,40019,40036,40055,40077,40108,40168,40223,40269,biphasic_negative_positive,N
100,138,40382,112.17222222222222,NORMAL,N,40297,40319,40343,40361,40395,40467,40514,40553,biphasic_negative_positive,N
100,140,40970,113.80555555555556,NORMAL,N,40887,40905,40934,40951,40984,41050,41103,41154,biphasic_negative_positive,N
100,141,41272,114.64444444444445,NORMAL,N,41186,41207,41230,41248,41279,41339,41397,41422,biphasic_negative_positive,N
100,143,41850,116.25,NORMAL,N,41769,41784,41808,41831,41863,41928,41971,42004,biphasic_negative_positive,N
100,144,42117,116.99166666666666,NORMAL,N,42041,42062,42077,42097,42129,42191,42239,42277,biphasic_negative_positive,N
100,145,42416,117.82222222222222,NORMAL,N,42334,42353,42379,42395,42423,42514,42537,42586,normal,N
100,146,42698,118.60555555555555,NORMAL,N,42615,42634,42661,42676,42712,42773,42829,42871,biphasic_negative_positive,N
100,147,42997,119.43611111111112,NORMAL,N,42912,42930,42954,42976,43014,43073,43137,43175,biphasic_negative_positive,N
100,148,43307,120.29722222222222,NORMAL,N,43224,43241,43265,43286,43314,43385,43434,43464,biphasic_negative_positive,N
100,149,43604,121.12222222222222,NORMAL,N,43524,43540,43563,43583,43616,43678,43731,43748,biphasic_negative_positive,N
100,150,43893,121.925,NORMAL,N,43812,43830,43856,43872,43906,43959,44022,44036,biphasic_negative_positive,N
100,151,44172,122.7,NORMAL,N,44090,44111,44135,44151,44184,44240,44289,44333,biphasic_negative_positive,N
100,152,44456,123.4888888888889,NORMAL,N,44373,44392,44417,44434,44463,44526,44580,44621,biphasic_negative_positive,N
100,153,44743,124.28611111111111,NORMAL,N,44661,44680,44702,44723,44755,44842,44872,44900,normal,N
100,154,45030,125.08333333333333,NORMAL,N,44948,44966,44988,45010,45043,45104,45161,45205,biphasic_negative_positive,N
100,155,45323,125.89722222222223,NORMAL,N,45242,45260,45282,45302,45336,45398,45454,45494,biphasic_negative_positive,N
100,156,45628,126.74444444444444,NORMAL,N,45540,45561,45587,45607,45637,45710,45763,45784,biphasic_negative_positive,N
100,157,45925,127.56944444444444,NORMAL,N,45844,45863,45884,45905,45931,46002,46052,46087,biphasic_negative_positive,N
100,158,46204,128.34444444444443,NORMAL,N,46125,46143,46165,46182,46216,46269,46325,46366,biphasic_negative_positive,N
100,159,46479,129.10833333333332,NORMAL,N,46403,46420,46444,46459,46492,46555,46601,46650,biphasic_negative_positive,N
100,160,46760,129.88888888888889,NORMAL,N,46678,46700,46721,46739,46771,46836,46877,46924,biphasic_negative_positive,N
100,161,47037,130.65833333333333,NORMAL,N,46956,46974,46995,47017,47051,47112,47168,47182,biphasic_negative_positive,N
100,162,47335,131.48611111111111,NORMAL,N,47247,47272,47292,47313,47342,47412,47469,47506,biphasic_negative_positive,N
100,163,47633,132.3138888888889,NORMAL,N,47549,47570,47590,47608,47640,47735,47758,47813,normal,N
100,164,47920,133.11111111111111,NORMAL,N,47837,47857,47882,47899,47927,47973,47999,48038,inverted,N
100,165,48202,133.89444444444445,NORMAL,N,48123,48138,48162,48183,48216,48282,48337,48363,biphasic_negative_positive,N
100,166,48486,134.68333333333334,NORMAL,N,48410,48427,48446,48464,48498,48555,48605,48648,biphasic_negative_positive,N
100,167,48766,135.4611111111111,NORMAL,N,48682,48701,48727,48745,48775,48856,48879,48924,normal,N
100,169,49323,137.00833333333333,NORMAL,N,49241,49260,49283,49303,49339,49400,49466,49491,biphasic_negative_positive,N
100,170,49618,137.82777777777778,NORMAL,N,49528,49553,49577,49598,49625,49698,49748,49793,biphasic_negative_positive,N
100,171,49923,138.675,NORMAL,N,49838,49854,49882,49903,49930,50026,50057,50072,normal,N
100,172,50214,139.48333333333332,NORMAL,N,50134,50155,50175,50193,50228,50296,50343,50378,biphasic_negative_positive,N
100,173,50491,140.25277777777777,NORMAL,N,50417,50433,50455,50473,50504,50564,50621,50659,biphasic_negative_positive,N
100,174,50771,141.03055555555557,NORMAL,N,50695,50713,50735,50752,50780,50870,50897,50923,normal,N
100,175,51056,141.82222222222222,NORMAL,N,50975,50991,51015,51037,51068,51131,51177,51225,biphasic_negative_positive,N
100,176,51340,142.61111111111111,NORMAL,N,51254,51274,51296,51316,51352,51422,51478,51503,biphasic_negative_positive,N
100,177,51627,143.40833333333333,NORMAL,N,51541,51560,51583,51613,51640,51698,51764,51790,biphasic_negative_positive,N
100,178,51921,144.225,NORMAL,N,51841,51857,51880,51901,51934,51997,52051,52091,biphasic_negative_positive,N
100,180,52506,145.85,NORMAL,N,52424,52441,52466,52486,52520,52582,52635,52677,biphasic_negative_positive,N
100,181,52784,146.62222222222223,NORMAL,N,52705,52722,52744,52765,52797,52853,52907,52943,biphasic_negative_positive,N
100,182,53063,147.3972222222222,NORMAL,N,52986,53002,53023,53045,53071,53129,53182,53211,biphasic_negative_positive,N
100,184,53632,148.9777777777778,NORMAL,N,53543,53565,53591,53610,53645,53707,53783,53799,biphasic_negative_positive,N
100,185,53923,149.7861111111111,NORMAL,N,53838,53857,53881,53902,53937,54002,54054,54096,biphasic_negative_positive,N
100,186,54220,150.61111111111111,NORMAL,N,54136,54152,54175,54199,54227,54270,54350,54371,biphasic_negative_positive,N
100,187,54508,151.4111111111111,NORMAL,N,54424,54442,54465,54489,54520,54610,54638,54674,normal,N
100,188,54784,152.17777777777778,NORMAL,N,54706,54724,54748,54766,54799,54859,54916,54947,biphasic_negative_positive,N
100,189,55064,152.95555555555555,NORMAL,N,54986,55004,55024,55046,55077,55144,55190,55227,biphasic_negative_positive,N
100,190,55344,153.73333333333332,NORMAL,N,55266,55283,55310,55325,55355,55387,55465,55501,biphasic_negative_positive,N
100,191,55626,154.51666666666668,NORMAL,N,55542,55561,55585,55603,55636,55650,55750,55798,biphasic_negative_positive,N
100,192,55908,155.3,NORMAL,N,55825,55844,55865,55887,55922,55984,56040,56076,biphasic_negative_positive,N
100,193,56208,156.13333333333333,NORMAL,N,56116,56138,56161,56184,56222,56282,56340,56393,biphasic_negative_positive,N
100,194,56502,156.95,NORMAL,N,56417,56439,56458,56482,56509,56552,56628,56681,biphasic_negative_positive,N
100,195,56785,157.73611111111111,NORMAL,N,56704,56724,56747,56764,56793,56858,56905,56942,biphasic_negative_positive,N
100,196,57055,158.48611111111111,NORMAL,N,56977,56993,57018,57035,57069,57125,57182,57206,biphasic_negative_positive,N
100,197,57333,159.25833333333333,NORMAL,N,57255,57273,57297,57314,57345,57404,57458,57509,biphasic_negative_positive,N
100,198,57616,160.04444444444445,NORMAL,N,57535,57551,57575,57592,57625,57664,57736,57783,biphasic_negative_positive,N
100,199,57901,160.8361111111111,NORMAL,N,57818,57838,57858,57881,57916,57983,58032,58050,biphasic_negative_positive,N
100,200,58192,161.64444444444445,NORMAL,N,58110,58127,58151,58171,58205,58269,58323,58356,biphasic_negative_positive,N
100,201,58490,162.47222222222223,NORMAL,N,58407,58424,58448,58469,58497,58589,58617,58640,normal,N
100,202,58788,163.3,NORMAL,N,58702,58721,58745,58768,58801,58874,58913,58955,biphasic_negative_positive,N
100,203,59078,164.10555555555555,NORMAL,N,58996,59015,59037,59058,59092,59153,59221,59240,biphasic_negative_positive,N
100,204,59354,164.87222222222223,NORMAL,N,59280,59298,59318,59336,59367,59432,59477,59503,biphasic_negative_positive,N
100,205,59632,165.64444444444445,NORMAL,N,59553,59570,59594,59612,59639,59726,59752,59797,normal,N
100,206,59920,166.44444444444446,NORMAL,N,59840,59860,59880,59897,59932,60017,60048,60079,normal,N
100,207,60214,167.26111111111112,NORMAL,N,60127,60154,60171,60192,60229,60287,60343,60386,biphasic_negative_positive,N
100,208,60516,168.1,NORMAL,N,60433,60451,60473,60493,60531,60596,60643,60692,biphasic_negative_positive,N
100,210,61106,169.73888888888888,NORMAL,N,61024,61045,61067,61085,61118,61206,61248,61282,normal,N
100,211,61391,170.53055555555557,NORMAL,N,61310,61328,61351,61373,61405,61472,61521,61560,biphasic_negative_positive,N
100,212,61680,171.33333333333334,NORMAL,N,61603,61620,61640,61660,61687,61753,61801,61856,biphasic_negative_positive,N
100,213,61964,172.12222222222223,NORMAL,N,61883,61902,61926,61941,61976,62042,62080,62111,biphasic_negative_positive,N
100,214,62248,172.9111111111111,NORMAL,N,62172,62188,62212,62227,62263,62337,62377,62419,biphasic_negative_positive,N
100,215,62547,173.74166666666667,NORMAL,N,62463,62488,62506,62526,62564,62631,62697,62714,biphasic_negative_positive,N
100,216,62852,174.5888888888889,NORMAL,N,62770,62787,62810,62829,62864,62932,62978,63015,biphasic_negative_positive,N
100,217,63155,175.43055555555554,NORMAL,N,63067,63087,63112,63131,63169,63250,63270,63328,normal,N
100,218,63439,176.21944444444443,NORMAL,N,63358,63375,63397,63419,63452,63515,63557,63598,biphasic_negative_positive,N
100,219,63711,176.975,NORMAL,N,63635,63653,63673,63692,63718,63786,63836,63883,biphasic_negative_positive,N
100,220,63999,177.775,NORMAL,N,63916,63935,63959,63979,64011,64076,64129,64167,biphasic_negative_positive,N
100,221,64288,178.57777777777778,NORMAL,N,64207,64231,64250,64268,64301,64374,64434,64461,biphasic_negative_positive,N
100,222,64582,179.39444444444445,NORMAL,N,64496,64514,64542,64559,64589,64656,64707,64745,biphasic_negative_positive,N
100,223,64876,180.2111111111111,NORMAL,N,64794,64811,64833,64856,64888,64946,65004,65041,biphasic_negative_positive,N
100,224,65174,181.0388888888889,NORMAL,N,65093,65110,65132,65155,65187,65245,65300,65320,biphasic_negative_positive,N
100,225,65464,181.84444444444443,NORMAL,N,65383,65400,65426,65444,65476,65535,65596,65634,biphasic_negative_positive,N
100,226,65750,182.63888888888889,NORMAL,N,65666,65689,65708,65731,65764,65823,65875,65909,biphasic_negative_positive,N
100,227,66031,183.41944444444445,NORMAL,N,65947,65965,65990,66008,66039,66104,66151,66201,biphasic_negative_positive,N
100,228,66308,184.1888888888889,NORMAL,N,66228,66245,66272,66289,66320,66384,66435,66452,biphasic_negative_positive,N
100,229,66604,185.01111111111112,NORMAL,N,66521,66538,66564,66584,66617,66675,66698,66715,normal,N
100,231,67131,186.475,NORMAL,N,67042,67067,67088,67109,67143,67210,67260,67320,biphasic_negative_positive,N
100,232,67435,187.31944444444446,NORMAL,N,67349,67368,67393,67412,67448,67513,67563,67599,biphasic_negative_positive,N
100,233,67729,188.13611111111112,NORMAL,N,67645,67662,67689,67706,67741,67800,67847,67885,biphasic_negative_positive,N
100,234,68008,188.9111111111111,NORMAL,N,67928,67943,67970,67989,68021,68090,68148,68186,biphasic_negative_positive,N
100,235,68302,189.7277777777778,NORMAL,N,68220,68236,68261,68283,68309,68404,68427,68479,normal,N
100,236,68595,190.54166666666666,NORMAL,N,68513,68529,68552,68571,68607,68671,68718,68758,biphasic_negative_positive,N
100,237,68886,191.35,NORMAL,N,68803,68821,68845,68864,68900,68965,69024,69060,biphasic_negative_positive,N
100,238,69191,192.19722222222222,NORMAL,N,69105,69125,69147,69171,69204,69270,69323,69367,biphasic_negative_positive,N
100,239,69504,193.06666666666666,NORMAL,N,69419,69440,69464,69482,69511,69586,69623,69680,biphasic_negative_positive,N
100,241,70074,194.65,NORMAL,N,69994,70011,70035,70054,70088,70144,70202,70218,biphasic_negative_positive,N
100,242,70357,195.4361111111111,NORMAL,N,70278,70294,70319,70338,70366,70429,70473,70524,biphasic_negative_positive,N
100,243,70643,196.23055555555555,NORMAL,N,70562,70578,70601,70624,70654,70715,70766,70808,biphasic_negative_positive,N
100,244,70941,197.05833333333334,NORMAL,N,70857,70882,70900,70921,70955,71045,71074,71119,normal,N
100,245,71240,197.88888888888889,NORMAL,N,71154,71173,71200,71219,71253,71312,71372,71402,biphasic_negative_positive,N
100,246,71540,198.72222222222223,NORMAL,N,71458,71475,71499,71521,71552,71609,71667,71710,biphasic_negative_positive,N
100,247,71846,199.57222222222222,NORMAL,N,71762,71779,71802,71826,71859,71926,71976,72015,biphasic_negative_positive,N
100,248,72138,200.38333333333333,NORMAL,N,72063,72081,72100,72118,72145,72216,72280,72303,biphasic_negative_positive,N
100,249,72417,201.15833333333333,NORMAL,N,72339,72359,72380,72399,72430,72487,72543,72567,biphasic_negative_positive,N
100,250,72703,201.95277777777778,NORMAL,N,72624,72647,72667,72684,72718,72801,72825,72867,normal,N
100,251,72998,202.7722222222222,NORMAL,N,72916,72936,72959,72978,73007,73099,73121,73161,normal,N
100,252,73302,203.61666666666667,NORMAL,N,73214,73234,73259,73282,73315,73381,73444,73471,biphasic_negative_positive,N
100,253,73612,204.4777777777778,NORMAL,N,73526,73543,73568,73599,73624,73682,73737,73797,biphasic_negative_positive,N
100,254,73912,205.3111111111111,NORMAL,N,73828,73846,73871,73888,73919,74009,74031,74071,normal,N
100,255,74196,206.1,NORMAL,N,74114,74138,74160,74177,74208,74298,74324,74351,normal,N
100,256,74484,206.9,NORMAL,N,74401,74421,74445,74465,74490,74561,74614,74648,biphasic_negative_positive,N
100,257,74767,207.6861111111111,NORMAL,N,74687,74708,74727,74748,74779,74841,74860,74881,inverted,N
100,258,74986,208.29444444444445,APC,A,74905,74919,74944,74967,74994,75059,75108,75153,biphasic_negative_positive,S
100,259,75332,209.25555555555556,NORMAL,N,75254,75270,75292,75313,75346,75413,75431,75467,inverted,N
100,260,75632,210.0888888888889,NORMAL,N,75550,75568,75591,75615,75645,75708,75763,75800,biphasic_negative_positive,N
100,261,75936,210.93333333333334,NORMAL,N,75848,75870,75893,75913,75943,76013,76067,76102,biphasic_negative_positive,N
100,263,76515,212.54166666666666,NORMAL,N,76436,76453,76475,76496,76528,76614,76635,76671,normal,N
